State,Year,Quarter,Text
Maryland,2020.0,Q1,"The Red Cross has issued new guidelines for its shelters, screening people for symptoms and keeping bed six feet apart. That strategy will soon be tested. WASHINGTON — Coast-to-coast storms. A spate of wildfires. Flooding in Hawaii. As the United States rushes into disaster season, federal officials now have an added crisis to worry about: How to stop tightly packed disaster-response shelters from becoming hot spots of coronavirus transmission."
Maryland,2020.0,Q1,"Lab directors and federal officials are keeping a close eye on the supply of other materials needed to conduct the tests. Laboratories around the country are now facing potential shortages of key materials and chemicals needed to run tests for the novel coronavirus, as cases spread to more than two-thirds of the states and the global pandemic strains testing resources even further."
Maryland,2020.0,Q1,"Hand washing can’t prevent our thousands of students, faculty and staff at Stuyvesant High from getting infected and infecting loved ones. We are writing this on behalf of 64 teachers at New York City’s Stuyvesant High who love their students and love their school. That is why we need the city to close it."
Maryland,2020.0,Q1,"He has been cautious, technical and reserved in the face of intense criticism for the agency’s delay in rolling out testing for the infection. Dr. Robert R. Redfield, the director of the Centers for Disease Control and Prevention, was in the hot seat — again."
Maryland,2020.0,Q1,"As supplies have dwindled, doctors and nurses have improvised ways to make their stock last. Now they’re urging leaders to help. An intensive-care nurse in Illinois was told to make a single-use mask last for five days."
Maryland,2020.0,Q1,"The Dart Container Corporation, which makes foam products, is a manufacturing behemoth and produced a fortune for the family behind it. Environmentalists say its products are polluting the globe. MASON, Mich. — The Dart Container Corporation, by some measures, is an American success story."
Maryland,2020.0,Q1,"As a form of therapy, arranging gently used blooms is enriching the lives of older and marginalized people. The flowers come from all sorts of places: weddings, farmer’s markets, the online florist company UrbanStems, even a first lady’s luncheon. In the truck she calls her “Bloom Mobile 1.0,” Kaifa Anderson-Hall recovers flowers from venues all over the Washington, D.C., area that would otherwise be discarded and gives them a purpose. After being preserved, often for weeks in refrigerators she keeps in the basement of a four-unit apartment building she and her husband own, those flowers take on their second job — in therapeutic activities with seniors, homeless women and people with disabilities around the city."
Maryland,2020.0,Q1,Compare the number of deaths and the rate of increase over time in the places the virus has hit hardest so far. Compare the number of deaths and the rate of increase over time in the places the virus has hit hardest so far.
Maryland,2020.0,Q1,"In New York, officials canceled the state’s Democratic presidential primary, but a federal judge ordered that the election be held in June. Fifteen other states have rescheduled their contests because of the coronavirus. As the coronavirus pandemic upends the presidential campaign, states across the country have postponed primary elections and expanded vote-by-mail options, citing the difficulty of holding elections during the outbreak."
Maryland,2020.0,Q1,"We’re one step closer to the “genetic panopticon” that Antonin Scalia warned us about. What if the United States government took the DNA of vast numbers of Americans for use without their consent? The Trump administration has just brought us one step closer to that dystopia. On January 6, the federal government began collecting DNA from any person in immigration custody — previously, it had required only fingerprints. With this move, the federal government took a decisive step toward collecting and tracking large numbers of its citizens’ genetic information too."
Maryland,2020.0,Q2,"They need immunity from lawsuits and prosecution for triage decisions. Our health care system is on the cusp of a crisis not seen before. A ventilator shortage is coming, if it’s not already here. Hospitals, physicians and nurses are likely to face a terrible choice: Should they withdraw or withhold ventilators from some patients so that others with better odds of survival might benefit from the machines?"
Maryland,2020.0,Q2,"Blue Flame Medical boasted that it could acquire masks, testing kits and other equipment to respond to the pandemic. State and local governments paid up — and are still waiting for delivery. WASHINGTON — A company created just six weeks ago by a pair of Republican operatives received hundreds of millions of dollars in payments from desperate state and local governments for coronavirus supplies, but is now facing a federal criminal investigation and a rising chorus of complaints from customers who say their orders never arrived."
