State,Year,Quarter,Text
South Carolina,2020,Q1,"Our reporters are following all of the exchanges and fact-checking the candidates, providing context and explanation. Seven of the candidates vying for the 2020 Democratic presidential nomination took the stage Tuesday night in Charleston for their last debate before South Carolina’s primary on Saturday."
South Carolina,2020,Q1,"The president’s proposal can be read as a second-term policy blueprint. On the future of the Affordable Care Act, it’s awfully vague. WASHINGTON — President Trump told a group of governors on Monday that he was pulling back from efforts to repeal the Affordable Care Act, reasoning that with the end of the individual mandate already in force, the law was basically “not Obamacare anymore.”"
South Carolina,2020,Q1,"A small minority of older black voters in the South support Sanders, and they are discouraged and baffled by the near-universal rejection of his campaign. OKOLONA, Miss. — Miles from anything like a town and halfway down a dead-end county road lives Mamie Cunningham, 78, a retired schoolteacher, lifelong Mississippian — and die-hard supporter of Senator Bernie Sanders."
South Carolina,2020,Q1,"While members of his administration tried to convey a calm and steady response, President Trump hosted another free-form political rally where he accused his enemies of stoking panic. NORTH CHARLESTON, S.C. — Larry Kudlow, the president’s chief economic adviser, stood in the White House briefing room on Friday urging the public — and the plunging financial markets — not to panic over the coronavirus outbreak, while Vice President Mike Pence spread a similar message to officials and residents at an event in Florida."
South Carolina,2020,Q1,"Facing better-known and better-financed opponents, Pete Buttigieg knew he would struggle to attract black voters in South Carolina. On Saturday his efforts came up empty. SUMTER, S.C. — In October, Pete Buttigieg said he would do better with South Carolina’s black voters once they got to know him better."
South Carolina,2020,Q1,"The Biden-Sanders matchup attracted 10.8 million viewers, down from prior forums in Nevada and South Carolina. Despite tens of millions of Americans hunkering down in their homes because of the coronavirus pandemic, the CNN debate on Sunday between Joe Biden and Senator Bernie Sanders attracted a smaller live audience than the last two Democratic matchups."
South Carolina,2020,Q1,"The primary race is entering a critical nine-day stretch that could effectively determine the nomination as candidates face a debate, the South Carolina primary and Super Tuesday contests. HOUSTON — Energized by his landslide victory in the Nevada caucuses, Senator Bernie Sanders turned his focus to President Trump on Sunday while his campaign made plans to try to win the coming South Carolina primary and amass an insurmountable delegate lead on Super Tuesday next week."
South Carolina,2020,Q1,"Voters in Nevada and South Carolina face an all-white top tier of 2020 candidates that was winnowed down by a largely white electorate. LAS VEGAS — Kristina Alvarez, a 36-year-old medical aide in Las Vegas, knows how badly the Democrats want her attention and ideally her vote. So does JA Moore, 34, a state representative in Charleston, S.C., whose endorsement was highly sought after."
South Carolina,2020,Q1,"Joe Biden is looking ahead to South Carolina to resurrect his candidacy. There are signs that it may be a bigger challenge after defeats in Iowa and New Hampshire. COLUMBIA, S.C. — Even before the final results from New Hampshire showed Joseph R. Biden Jr. finishing a distant fifth there, the former vice president had flown to South Carolina on Tuesday night for a gathering of enthusiastic supporters. A gospel choir sang about salvation, a fitting choice for a candidate who is counting on this state’s large black electorate to save his third try for the White House."
South Carolina,2020,Q1,"The couple met at a brunch with friends in Asheville, N.C., in 2018, and had their first date soon afterward. Candace Michael Vickery and Kimberly Vel Rose were married Dec. 31 in Greenville, S.C. Vivian L. Hunnings, who was ordained through American Marriage Ministries, officiated at the Hilton Greenville hotel."
South Carolina,2020,Q2,Three children have died of a mysterious syndrome linked to the virus. Trump’s support among seniors slips as the pandemic becomes more political. This briefing has ended. Follow our latest coverage of the coronavirus pandemic.
