"Label (Grouping)","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 17 years","SEX AND AGE!!Total population!!18 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Unemployment Rate","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With private health insurance","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With public coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage","POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!All people"
"Alabama","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,074,296","48.5%","51.5%","5.6%","16.3%","9.6%","12.9%","12.5%","12.2%","13.0%","10.8%","7.2%","11.2%","30.4%","29.6%","17.5%","11.3%","4.3%","67.0%","38.4%","8.8%","16.2%"
"Alaska","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","733,583","52.6%","47.4%","6.3%","17.6%","9.4%","15.5%","14.3%","11.2%","11.9%","9.4%","4.4%","6.7%","29.1%","33.6%","19.2%","11.3%","4.6%","66.4%","37.2%","11.0%","11.0%"
"Arizona","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,359,197","50.0%","50.0%","5.3%","16.2%","9.8%","13.8%","12.6%","11.6%","11.8%","10.6%","8.2%","10.8%","23.8%","32.4%","20.4%","12.5%","4.3%","63.9%","38.3%","10.3%","12.5%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
