State,Year,Quarter,Text
New Jersey,2020,Q1,"Rick Cotton, the executive director of the Port Authority of New York and New Jersey, is one of the most prominent U.S. officials to have contracted the virus. Rick Cotton, the executive director of the Port Authority of New York and New Jersey, which operates the region’s major airports, bridges, tunnels and bus terminals, has tested positive for the coronavirus, Gov. Andrew M. Cuomo of New York announced on Monday."
New Jersey,2020,Q1,"The state budget proposal includes a $4.35 per pack tax, an increase designed to discourage tobacco use and generate revenue. UNION, N.J. — Zahir Shabazz smokes about three packs of cigarettes a week. Each time he runs out, he hands a cashier $10, give or take, and a slim pack of Newports appears, feeding a habit of nearly 30 years."
New Jersey,2020,Q1,"Hundreds of stores are stocked almost entirely with flavored nicotine products that will soon be illegal to sell in New Jersey. EAST HANOVER, N.J. — Adam Mitrani opened his first Darth Vapor e-cigarette shop six years ago after his carwash business collapsed."
New Jersey,2020,Q1,"The proposal had been one of the nation’s broadest, but it came under intense criticism from vaccine skeptics. TRENTON, N.J. — It began as one of the nation’s broadest proposed bans on religious exemptions to childhood vaccines."
New Jersey,2020,Q1,"The matriarch of the large New Jersey family died Wednesday night without ever knowing that her two oldest children had died before her. Grace Fusco — mother of 11, grandmother of 27 — would sit in the same pew at church each Sunday, surrounded by nearly a dozen members of her sprawling Italian-American family. Sunday dinners drew an even larger crowd to her home in central New Jersey."
New Jersey,2020,Q1,"The wife of former Representative Patrick Kennedy is vying to oust a congressman who pledged loyalty to President Trump. The field of Democrats vying to oust Representative Jeff Van Drew got more crowded on Monday as Amy Kennedy, the wife of former Representative Patrick Kennedy, entered the race, bringing the instant name recognition of a political dynasty to the New Jersey congressional race."
New Jersey,2020,Q1,"Speaker Nancy Pelosi’s plan is aimed at distancing vulnerable Democrats from Medicare for All and other proposals being pushed by the party’s presidential contenders. WASHINGTON — Speaker Nancy Pelosi is preparing to unveil a sweeping plan to lower the cost of health care, moving to address the top concern of voters while giving moderate Democrats who face tough re-election races a way to distance themselves from the Medicare for All plan embraced by the progressive left and derided by Republicans as socialism."
New Jersey,2020,Q1,April Goode and four of her children moved into a hotel room in New Jersey in February. She had no job and no car. Then the pandemic hit. April Goode awoke shortly before 7 a.m. after a night of restless sleep atop two sleeping bags and a blanket on the floor of her hotel room. Her four children were asleep on the two full beds. Ms. Goode turned on the television and kept the volume low.
New Jersey,2020,Q1,"There are now three suspected cases in the city. The patients had recently been to China and came down with flulike symptoms. A day after New York City’s health authorities said that a woman was hospitalized with the city’s first suspected case of the new coronavirus, the authorities on Sunday announced that two more patients also might have the virus."
New Jersey,2020,Q1,"New Jersey announces its first case, and officials in both states scramble to trace the spread of the virus. Just a day after a Westchester County man was confirmed as New York’s second case of the new coronavirus, the authorities revealed on Wednesday just how readily it was spreading, saying that nine people connected to the man had all tested positive."
New Jersey,2020,Q2,"Governor Cuomo said 226 more people had died of the coronavirus in New York, the lowest one-day total in five weeks. Gov. Andrew M. Cuomo on Monday provided new details about the process that New York plans to follow for reopening as the coronavirus continues to decline in the state. "
New Jersey,2020,Q2,Test your knowledge of this week’s health news. Test your knowledge of this week’s health news.
New Jersey,2020,Q2,"James Cai’s case was completely new to his doctors. When he grew severely ill, he tapped a network of Chinese and Chinese-American medical colleagues who helped save his life. To hear more audio stories from publishers, like The New York Times, download Audm for iPhone or Android."
New Jersey,2020,Q2,Here’s what you need to know. (Want to get this briefing by email? Here’s the sign-up.)
New Jersey,2020,Q2,"The costs of the coronavirus shutdown, economic and otherwise, have driven many people to the breaking point. But governors are increasingly worried about the costs of reopening, too. The pain of the coronavirus shutdown, in terms of wrecked economies and shattered lives, has been unmistakable. Now, governors across the country are contemplating the risks of reopening, particularly if it produces a surge of new cases and deaths."
New Jersey,2020,Q2,"The chairwoman of the Energy and Commerce health subcommittee said she planned to hold hearings on Rick Bright’s dismissal as the head of an agency helping to develop a coronavirus vaccine. WASHINGTON — A key House subcommittee chairwoman said on Thursday that she planned to hold hearings into the departure of Rick Bright, who said he was removed as the head of an agency involved in developing a coronavirus vaccine after he pressed for rigorous vetting of unproven drugs embraced by President Trump to combat the virus."
New Jersey,2020,Q2,"With no licenses that can be revoked and no database tracking their misconduct, officers in New Jersey are able to jump from agency to agency, even after they are fired. WOODLYNNE, N.J. — He left one department after failing to meet its standards. At another, he racked up disciplinary infractions. He was fired from a third, yet succeeded in getting hired at another."
New Jersey,2020,Q2,"At a hearing, Dr. Anthony S. Fauci told senators that if the country did not adequately prepare, “then we run the risk of having a resurgence.” This briefing has ended. Follow our latest coverage of the coronavirus pandemic."
New Jersey,2020,Q2,"The backlog for Covid-19 testing in New Jersey and other parts of the country is getting worse, not better. From the nose of a patient in a mile-long line to a phone call days later, bottlenecks thwart its progress. PARAMUS, N.J. — The lines start forming the night before, as people with glassy eyes and violent coughs try to get tested for the virus. In the darkness, they park their cars, cut their engines and try to sleep."
New Jersey,2020,Q2,Three children have died of a mysterious syndrome linked to the virus. Trump’s support among seniors slips as the pandemic becomes more political. This briefing has ended. Follow our latest coverage of the coronavirus pandemic.
New Jersey,2020,Q3,"Growing numbers of districts are going online only, citing teacher shortages, ventilation issues and delayed guidance from the state on the virus. Just a few weeks ago it seemed that New Jersey, the state with the highest coronavirus death rate in the nation, was on the verge of reaching a crucial milestone."
New Jersey,2020,Q3,"The insect poses a serious threat to American crops, particularly vineyards, and inspires creative backyard methods of eliminating them. On Aug. 17, a banner floated in the blue sky above Ocean Grove, N.J., with a call to arms: “JOIN THE BATTLE — BEAT THE BUG.” A large picture showed an insect with crimson and Dalmatian-spotted wings outspread. The spotted lanternfly, the Northeast’s pest à la mode, was back."
New Jersey,2020,Q3,"Gov. Philip Murphy said the tax would help make up shortfalls caused by the pandemic, but Republicans warned it would lead to an exodus of wealthy residents. New Jersey officials agreed on Thursday to make the state one of the first to adopt a so-called millionaires tax to alleviate shortfalls caused by the pandemic, intensifying a national debate over whether to increase taxes on the rich to help address widening income gaps."
New Jersey,2020,Q3,"Amy Kennedy, a former teacher, is married to Patrick Kennedy, a retired congressman. She will face Representative Jeff Van Drew, who quit the Democratic Party and is backed by President Trump. In a rebuke of a potent New Jersey political machine, Amy Kennedy, a former schoolteacher whose husband is a nephew of President John F. Kennedy, won Tuesday’s primary battle to take on Jeff Van Drew, a freshman congressman who defected from the Democrats with a pledge of loyalty to President Trump."
New Jersey,2020,Q3,California’s governor announced a sweeping rollback of the state’s reopening and Los Angeles and San Diego school districts will be online-only in the fall. Dr. Anthony Fauci returned to the White House. This briefing has ended. Read live coronavirus updates here.
New Jersey,2020,Q3,Stakes are high in the Democratic primary for a New Jersey congressional seat: The winner will face a candidate who defected from the party to support Trump. Jeff Van Drew’s defection from the Democratic Party began with a vote against impeaching President Trump and ended with a handshake in the Oval Office.
New Jersey,2020,Q3,"""I’m just looking to say — and this may be arrogant — how can I solve this problem?"" ""I’m just looking to say — and this may be arrogant — how can I solve this problem?"""
New Jersey,2020,Q3,"“Honestly, I don’t even really see the point in getting tested,” said one New Yorker who has waited nearly two weeks, with still no results. Nearly four months after the pandemic’s peak, New York City is facing such serious delays in returning coronavirus test results that public health experts are warning that the problems could hinder efforts to reopen the local economy and schools."
New Jersey,2020,Q3,"City residents head to new developments in walkable suburban communities where they can get apartments with more indoor and outdoor space. Some New Yorkers who have moved out of the city since the beginning of the pandemic headed to the suburbs, but not to a typical suburban life."
New Jersey,2020,Q3,"The sustained low rate of infection has surprised local health officials. But a resurgence may be inevitable, despite the state’s and city’s best efforts. Health experts in New York City thought that coronavirus cases would be rising again by now. Their models predicted it. They were wrong."
New Jersey,2020,Q4,"After nearly one in five residents who were tested over three days last week were found to have the coronavirus, Newark announced a set of strict new rules. NEWARK — As the coronavirus started surging in New Jersey’s largest city, officials introduced the state’s first new coronavirus lockdown two weeks ago, mandating an 8 p.m. indoor closing time for all restaurants, bars and nonessential businesses citywide."
