"Label (Grouping)","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 17 years","SEX AND AGE!!Total population!!18 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Unemployment Rate","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With private health insurance","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With public coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage","POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!All people"
"Alabama","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,039,877","48.5%","51.5%","5.8%","16.5%","9.3%","12.6%","12.7%","12.3%","13.4%","10.7%","6.9%","12.1%","31.3%","29.2%","16.6%","10.9%","5.3%","66.4%","37.3%","9.9%","16.1%"
"Alaska","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","732,673","52.3%","47.7%","6.3%","18.2%","9.2%","15.3%","14.1%","11.3%","12.2%","9.2%","4.2%","6.7%","27.9%","32.6%","20.9%","11.9%","7.0%","64.2%","37.6%","11.4%","10.5%"
"Arizona","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,276,316","49.9%","50.1%","5.5%","16.7%","9.4%","13.8%","12.6%","11.7%","12.1%","10.8%","7.6%","11.0%","23.5%","33.1%","19.8%","12.6%","5.8%","63.2%","39.0%","10.7%","12.8%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
